filename,sample,co2,ppm,Land_Management,Treatment,date,Rep,sample_day,mass_CO2,mass_C,C_rate,C_rate_mg,cum_C,mg_cum_C
141020_44,13CelNTHRep2_unk-0023_10202014_31.qgd,44,748.5899023249415,NTH,13C,2014-10-20,2,0,3.274311572392762e-4,8.936095500115762e-5,0,0,8.936095500115762e-5,0.08936095500115762
141020_44,13XylNTHRep2_unk-0024_10202014_32.qgd,44,886.7794744806713,NTH,13X,2014-10-20,2,0,3.878748947099834e-4,1.0585697251446513e-4,0,0,1.0585697251446513e-4,0.10585697251446513
141020_44,H2ONTHRep2_unk-0025_10202014_33.qgd,44,857.9584537075251,NTH,H2O,2014-10-20,2,0,3.7526865976711323e-4,1.0241653879715512e-4,0,0,1.0241653879715512e-4,0.10241653879715512
141020_44,12ConNTHRep3_unk-0026_10202014_34.qgd,44,360.43472279543266,NTH,12C,2014-10-20,3,0,1.577377582244288e-4,4.304903917367903e-5,0,0,4.304903917367903e-5,0.043049039173679034
141020_44,13CelNTHRep3_unk-0027_10202014_35.qgd,44,393.9331407346265,NTH,13C,2014-10-20,3,0,1.7239773689910377e-4,4.704997086787401e-5,0,0,4.704997086787401e-5,0.04704997086787401
141020_44,13XylNTHRep3_unk-0028_10202014_36.qgd,44,267.9185582611088,NTH,13X,2014-10-20,3,0,1.1724972677178436e-4,3.1999238088068666e-5,0,0,3.1999238088068666e-5,0.03199923808806866
141020_44,H2ONTHRep3_unk-0029_10202014_37.qgd,44,406.03934516439676,NTH,H2O,2014-10-20,3,0,1.776957990074052e-4,4.84958927943182e-5,0,0,4.84958927943182e-5,0.0484958927943182
141020_44,12ConNTHRep4_unk-0030_10202014_38.qgd,44,279.1993396615766,NTH,12C,2014-10-20,4,0,1.2204540125567433e-4,3.330805077214052e-5,0,0,3.330805077214052e-5,0.033308050772140524
141020_44,13CelNTHRep4_unk-0031_10202014_39.qgd,44,491.9521254643004,NTH,13C,2014-10-20,4,0,2.150452598621785e-4,5.868913011144345e-5,0,0,5.868913011144345e-5,0.05868913011144345
141020_44,13XylNTHRep4_unk-0032_10202014_40.qgd,44,488.7880038519741,NTH,13X,2014-10-20,4,0,2.1366213878364662e-4,5.831165528130833e-5,0,0,5.831165528130833e-5,0.058311655281308335
141020_44,H2ONTHRep4_unk-0033_10202014_41.qgd,44,426.2622093823084,NTH,H2O,2014-10-20,4,0,1.8633046355787477e-4,5.085242439885558e-5,0,0,5.085242439885558e-5,0.050852424398855574
